designator,function,preferred_part_or_family,package,quantity,status,selection_rule
U1,Application processor,Allwinner T527/A527 exact Avaota-supported ordering code,BGA664 17x17 mm 0.5 mm pitch,1,BLOCKER,"Confirm availability and JLC assembly capability; no package substitution"
U2,Main PMIC,X-Powers AXP717 exact Avaota ordering code,Reference package,1,BLOCKER,"Copy symbol footprint and application circuit from pinned source; confirm purchasable MPN"
U3,CPU PMIC,X-Powers AXP323 exact Avaota ordering code,Reference package,1,BLOCKER,"Copy symbol footprint and application circuit from pinned source; confirm purchasable MPN"
U4,LPDDR4,2 GB reference-supported LPDDR4 exact MPN,FBGA200,1,BLOCKER,"Use the matching reference timing and 8-layer escape; capacity/package substitutions require boot validation"
U5,eMMC,32 or 64 GB eMMC 5.1 HS400 exact MPN,FBGA153,1,BLOCKER,"Validate CID boot timing and lifecycle; define approved alternate only after test"
U6,USB host load switch,"Current-limited discharge-capable high-side switch",SOT-23-5 or reference-selected,1,BLOCKER,"Advertised Type-C current must not exceed programmed limit"
U1001,USB-C PD sink controller,STUSB4500QTR / JLCPCB C2678061,QFN-24-EP 4x4 mm,1,selected,"Program and read back SNK_PDO_NUMB=2; PDO2=9 V/3 A; POWER_ONLY_ABOVE_5V=1"
U1002,PD input eFuse,TPS259470LRPWR / JLCPCB C3662793,VQFN-10-HR 2x2 mm,1,selected,"7.19 V UVLO; 10.87 V OVLO; 3.33 A nominal ILM; validate thermal and fault timing on PCB"
Q1001,PD contract interlock,2N7002,SOT-23,1,selected,"Clamp U1002 EN/UVLO low unless STUSB4500 POWER_OK2 asserts"
"D1001,D1002",USB-C CC ESD,PESD24VL1BA,SOD-323,2,candidate,"Confirm the exact JLC/LCSC code and 24 V tolerant CC-line suitability before BOM freeze"
"D1,D2",High-speed ESD,"Bandwidth-qualified HDMI and USB2 ESD arrays",TBD,2,BLOCKER,"Use separate qualified parts; capacitance and package escape are signal-integrity inputs"
USB1,HDMI connector,HCTL HDMI-01 / JLCPCB C2906135,Horizontal right-angle HDMI Type-A 19P SMD,1,selected,"Exact footprint and 3D model imported; verify enclosure engagement and assembly availability again at release"
J5,Power connector,XUNPU TYPEC-304-BCP16 / JLCPCB C720629,Right-angle SMD USB-C 16P 20V 3A,1,selected,"Reuse imported USB3 footprint geometry in barrel corridor; 9 V / 3 A PD input"
J6,Host connector,XUNPU TYPEC-304-BCP16 / JLCPCB C720629,Right-angle SMD USB-C 16P 20V 3A,1,selected,"Reuse imported USB3 footprint geometry in dual USB-A corridor; USB 2.0 host only"
J7,NVMe connector,UMAX 91302-42-067RDM / JLCPCB C601195,M-key M.2 67P SMD 4.2 mm,1,selected,"Project-local symbol/footprint/3D model added; verify manufacturer drawing and actual 2230 module insertion before mechanical freeze"
U10,NVMe 3.3 V supply,"Load-switched buck regulator sized for selected SSD inrush and peak load",TBD,1,BLOCKER,"Do not connect J7 to DCDC4 by assumption; select source rail, current limit, discharge, sequencing and bulk capacitance from measured SSD requirements"
X1,Main crystal,24 MHz low-ESR crystal,Reference package,1,required,"Copy reference MPN/load network and validate start-up margin"
X2,RTC crystal,32.768 kHz crystal,Reference package,1,required,"Copy reference MPN/load network"
HS1,SoC thermal solution,Heatsink and interface pad,TBD,1,BLOCKER,"Resolve enclosure z-height and validate worst-case junction temperature"
