item,datum,units,status,notes
BOARD,outline,mm,reference,"Imported outline is 100 x 75 with 3 mm corner radii; final enclosure fit not approved"
J5_POWER,reference_footprint_origin,mm,reference,"DC1 origin x=109.6545 y=136.8555 rotation=90 deg"
J5_POWER,panel_centerline_x,mm,BLOCKER,"Measure USB-C shell center from enclosure origin"
J5_POWER,panel_centerline_y,mm,BLOCKER,"Measure USB-C shell center from enclosure origin"
J5_POWER,shell_to_board_edge,mm,BLOCKER,"Set from selected connector drawing and enclosure wall"
J6_HOST,reference_footprint_origin,mm,reference,"USB2 origin x=126.114 y=134.970 rotation=0 deg"
J6_HOST,panel_centerline_x,mm,BLOCKER,"Measure USB-C shell center from enclosure origin"
J6_HOST,panel_centerline_y,mm,BLOCKER,"Measure USB-C shell center from enclosure origin"
J6_HOST,shell_to_board_edge,mm,BLOCKER,"Set from selected connector drawing and enclosure wall"
J1_HDMI,reference_footprint_origin,mm,reference,"USB1 origin x=140.124 y=132.247 rotation=-90 deg"
J1_HDMI,panel_centerline_x,mm,BLOCKER,"Confirm existing horizontal HDMI opening"
J1_HDMI,panel_centerline_y,mm,BLOCKER,"Confirm existing horizontal HDMI opening"
J1_HDMI,shell_to_board_edge,mm,BLOCKER,"Validate against selected right-angle HDMI drawing"
ALL_CONNECTORS,max_component_height,mm,BLOCKER,"Check lid, plug and cable clearance"
ALL_CONNECTORS,panel_opening,mm,BLOCKER,"Record width, height, corner radius and tolerance"
